gameweek,colsample_bytree,eta,gamma,max_depth,min_child_weight
3,0.5,0.01,1e-08,6.0,10.0
4,0.5,0.0325,3.1622776601683795e-09,3.0,15.0
5,0.5,0.01,3.1622776601683795e-09,3.0,12.0
6,0.5,0.0325,3.1622776601683795e-09,3.0,15.0
7,0.5,0.01,1e-10,6.0,15.0
8,0.5,0.01,3.1622776601683795e-10,6.0,12.0
9,0.5,0.01,1e-09,4.0,15.0
10,0.5,0.01,1e-10,6.0,12.0
11,0.5,0.0325,1e-08,3.0,12.0
12,0.5,0.01,1e-10,4.0,15.0
13,0.5,0.01,1e-10,3.0,10.0
14,0.5,0.01,1e-10,4.0,12.0
15,0.5,0.0325,3.1622776601683795e-09,3.0,12.0
16,0.5,0.01,1e-10,4.0,12.0
17,0.5,0.01,3.1622776601683795e-10,6.0,15.0
18,0.5,0.01,1e-10,4.0,12.0
19,0.5,0.0325,1e-08,3.0,10.0
20,0.5,0.0325,3.1622776601683795e-09,6.0,12.0
21,0.5,0.01,1e-10,3.0,15.0
22,0.5,0.01,1e-09,3.0,12.0
23,0.5,0.01,3.1622776601683795e-10,4.0,15.0
24,0.5,0.01,1e-10,4.0,15.0
25,0.55,0.01,1e-09,6.0,10.0
26,0.55,0.05500000000000001,1e-09,6.0,10.0
27,0.45,0.05500000000000001,1e-09,3.0,10.0
28,0.45,0.01,1e-09,6.0,12.0
29,0.55,0.0325,1e-08,4.0,15.0
30,0.5,0.01,1e-09,3.0,15.0
31,0.5,0.01,3.1622776601683795e-10,6.0,15.0
32,0.55,0.01,1e-10,3.0,15.0
33,0.55,0.01,3.1622776601683795e-09,4.0,12.0
34,0.45,0.01,3.1622776601683795e-10,3.0,10.0
35,0.45,0.01,1e-08,4.0,15.0
36,0.55,0.01,3.1622776601683795e-10,4.0,15.0
37,0.5,0.01,3.1622776601683795e-09,3.0,12.0
38,0.45,0.1,3.1622776601683795e-09,3.0,15.0
